Tx 0.0367144 1 6 1 39 
Tx 0.0367145 1 2 1 39 
Tx 0.0367146 1 3 1 39 
Tx 0.0367147 1 5 1 39 
Tx 0.0367148 1 4 1 39 
Tx 0.0367149 1 1 1 39 
Tx 0.0429286 1 2 1 15 
Tx 0.0429286 1 3 1 15 
Tx 0.0429286 1 1 1 15 
Tx 0.0479286 1 6 1 15 
Tx 0.0479286 1 5 1 15 
Tx 0.0479286 1 4 1 15 
Tx 0.0479286 1 4 1 15 
Rx 0.102412 1 6 3 58 412389
Rx 0.107308 1 6 3 54 395664
Rx 0.107308 1 6 3 1454 394316
Rx 0.112212 1 6 3 1454 402644
Rx 0.112212 1 6 3 1454 401449
Rx 0.117121 1 6 3 1454 410964
Rx 0.117121 1 6 3 1454 409769
Rx 0.117121 1 6 3 1454 408574
Rx 0.117121 1 6 3 1454 407379
Rx 0.122033 1 6 3 1454 423444
Rx 0.122033 1 6 3 1454 422249
Rx 0.122033 1 6 3 1454 421054
Rx 0.122033 1 6 3 1454 419859
Rx 0.122033 1 6 3 1454 418664
Rx 0.122033 1 6 3 1454 417469
Rx 0.122033 1 6 3 1454 416274
Rx 0.122412 1 3 3 58 412389
Rx 0.122908 1 6 3 1454 1290119
Rx 0.126954 1 6 3 1454 444244
Rx 0.126954 1 6 3 1454 443049
Rx 0.126954 1 6 3 1454 441854
Rx 0.126954 1 6 3 1454 440659
Rx 0.126954 1 6 3 1454 439464
Rx 0.126954 1 6 3 1454 438269
Rx 0.126954 1 6 3 1454 437074
Rx 0.126954 1 6 3 1454 435879
Rx 0.126954 1 6 3 1454 434684
Rx 0.126954 1 6 3 1454 433489
Rx 0.126954 1 6 3 1454 432294
Rx 0.126954 1 6 3 1454 431099
Rx 0.126954 1 6 3 1454 429904
Rx 0.127712 1 3 3 54 795664
Rx 0.127712 1 3 3 1454 794316
Rx 0.127812 1 6 3 1454 1287109
Rx 0.127812 1 6 3 1454 402644
Rx 0.127812 1 6 3 1454 401449
Rx 0.130412 1 2 3 58 412389
Rx 0.131896 1 6 3 1454 485844
Rx 0.131896 1 6 3 1454 484649
Rx 0.131896 1 6 3 1454 483454
Rx 0.131896 1 6 3 1454 482259
Rx 0.131896 1 6 3 1454 481064
Rx 0.131896 1 6 3 1454 479869
Rx 0.131896 1 6 3 1454 478674
Rx 0.131896 1 6 3 1454 477479
Rx 0.131896 1 6 3 1454 476284
Rx 0.131896 1 6 3 1454 475089
Rx 0.131896 1 6 3 1454 473894
Rx 0.131896 1 6 3 1454 472699
Rx 0.131896 1 6 3 1454 471504
Rx 0.131896 1 6 3 1454 470309
Rx 0.131896 1 6 3 1454 469114
Rx 0.131896 1 6 3 1454 467919
Rx 0.131896 1 6 3 1454 466724
Rx 0.131896 1 6 3 1454 465529
Rx 0.131896 1 6 3 1454 464334
Rx 0.131896 1 6 3 1454 463139
Rx 0.131896 1 6 3 1454 461944
Rx 0.131896 1 6 3 1454 460749
Rx 0.131896 1 6 3 1454 459554
Rx 0.131896 1 6 3 1454 458359
Rx 0.131896 1 6 3 1454 457164
Rx 0.132625 1 3 3 1454 415124
Rx 0.132625 1 3 3 1454 413929
Rx 0.132725 1 6 3 1454 1285249
Rx 0.132725 1 6 3 1454 415124
Rx 0.132725 1 6 3 1454 413929
Rx 0.132725 1 6 3 1454 412734
Rx 0.132725 1 6 3 1454 411539
Rx 0.132725 1 6 3 1454 410344
Rx 0.132725 1 6 3 1454 409149
Rx 0.136796 1 6 3 1454 485844
Rx 0.136796 1 6 3 1454 484649
Rx 0.136796 1 6 3 1454 483454
Rx 0.136796 1 6 3 1454 482259
Rx 0.136796 1 6 3 1454 481064
Rx 0.136796 1 6 3 1454 479869
Rx 0.136796 1 6 3 1454 478674
Rx 0.136796 1 6 3 1454 477479
Rx 0.136796 1 6 3 1454 476284
Rx 0.136796 1 6 3 1454 475089
Rx 0.136796 1 6 3 1454 473894
Rx 0.136796 1 6 3 1454 472699
