Tx 0.0367144 1 6 1 39 
Tx 0.0367145 1 2 1 39 
Tx 0.0367146 1 3 1 39 
Tx 0.0367147 1 5 1 39 
Tx 0.0367148 1 4 1 39 
Tx 0.0367149 1 1 1 39 
Tx 0.0429286 1 2 1 15 
Tx 0.0429286 1 3 1 15 
Tx 0.0429286 1 1 1 15 
Tx 0.0479286 1 6 1 15 
Tx 0.0479286 1 5 1 15 
Tx 0.0479286 1 4 1 15 
Tx 0.0479286 1 4 1 15 
Rx 0.102412 1 6 3 58 412389
Rx 0.107308 1 6 3 54 395664
Rx 0.107308 1 6 3 1454 394316
Rx 0.112212 1 6 3 1454 402644
Rx 0.112212 1 6 3 1454 401449
Rx 0.117121 1 6 3 1454 410964
Rx 0.117121 1 6 3 1454 409769
Rx 0.117121 1 6 3 1454 408574
Rx 0.117121 1 6 3 1454 407379
Rx 0.122033 1 6 3 1454 423444
Rx 0.122033 1 6 3 1454 422249
Rx 0.122033 1 6 3 1454 421054
Rx 0.122033 1 6 3 1454 419859
Rx 0.122033 1 6 3 1454 418664
Rx 0.122033 1 6 3 1454 417469
Rx 0.122033 1 6 3 1454 416274
Rx 0.122412 1 3 3 58 412389
Rx 0.122908 1 6 3 1454 1290119
Rx 0.126954 1 6 3 1454 444244
Rx 0.126954 1 6 3 1454 443049
Rx 0.126954 1 6 3 1454 441854
Rx 0.126954 1 6 3 1454 440659
Rx 0.126954 1 6 3 1454 439464
Rx 0.126954 1 6 3 1454 438269
Rx 0.126954 1 6 3 1454 437074
Rx 0.126954 1 6 3 1454 435879
Rx 0.126954 1 6 3 1454 434684
Rx 0.126954 1 6 3 1454 433489
Rx 0.126954 1 6 3 1454 432294
Rx 0.126954 1 6 3 1454 431099
Rx 0.126954 1 6 3 1454 429904
Rx 0.127712 1 3 3 54 795664
Rx 0.127712 1 3 3 1454 794316
Rx 0.127812 1 6 3 1454 1287109
Rx 0.127812 1 6 3 1454 402644
Rx 0.127812 1 6 3 1454 401449
Rx 0.130412 1 2 3 58 412389
Rx 0.131846 1 6 3 1454 435924
Rx 0.131846 1 6 3 1454 434729
Rx 0.131846 1 6 3 1454 433534
Rx 0.131846 1 6 3 1454 432339
Rx 0.131846 1 6 3 1454 431144
Rx 0.131846 1 6 3 1454 429949
Rx 0.131846 1 6 3 1454 428754
Rx 0.131846 1 6 3 1454 427559
Rx 0.131846 1 6 3 1454 426364
Rx 0.131846 1 6 3 1454 425169
Rx 0.131846 1 6 3 1454 423974
Rx 0.132625 1 3 3 1454 415124
Rx 0.132625 1 3 3 1454 413929
Rx 0.132717 1 6 3 1454 1293659
Rx 0.132717 1 6 3 1454 406804
Rx 0.132717 1 6 3 1454 405609
Rx 0.132717 1 6 3 1454 404414
Rx 0.136746 1 6 3 1454 435924
Rx 0.136746 1 6 3 1454 434729
Rx 0.136746 1 6 3 1454 433534
Rx 0.136746 1 6 3 1454 432339
Rx 0.136746 1 6 3 1454 431144
Rx 0.136746 1 6 3 1454 429949
Rx 0.136746 1 6 3 1454 428754
Rx 0.136746 1 6 3 1454 427559
Rx 0.136746 1 6 3 1454 426364
Rx 0.136746 1 6 3 1454 425169
Rx 0.136746 1 6 3 1454 423974
Rx 0.137621 1 6 3 1454 1297819
Rx 0.137621 1 6 3 1454 410964
Rx 0.137621 1 6 3 1454 409769
Rx 0.137621 1 6 3 1454 408574
Rx 0.137621 1 6 3 1454 407379
Rx 0.137937 1 3 3 1454 827604
Rx 0.137937 1 3 3 1454 826409
Rx 0.137937 1 3 3 1454 825214
Rx 0.137937 1 3 3 1454 824019
Rx 0.141646 1 6 3 1454 435924
Rx 0.141646 1 6 3 1454 434729
Rx 0.141646 1 6 3 1454 433534
Rx 0.141646 1 6 3 1454 432339
Rx 0.141646 1 6 3 1454 431144
Rx 0.141646 1 6 3 1454 429949
Rx 0.141646 1 6 3 1454 428754
Rx 0.141646 1 6 3 1454 427559
Rx 0.141646 1 6 3 1454 426364
